ChairId,CurrentPatientId,BatteryState,WeightTreshhold
#dca,,true,87.0
#ce8,,false,59.8
#dcd,,true,92.9
#225,,false,80.8
#bf3,,true,73.8
#e69,,true,83.3
#2b1,,false,40.2
#b89,,false,63.9
#9c2,,false,50.6
#c96,,false,92.3
#6da,,false,87.9
#f47,,true,93.5
#7e2,,false,53.7
#e33,,false,64.0
#67a,,false,55.6
#34e,,false,76.6
#b81,,true,50.3
#6b4,,true,93.8
#12c,,true,32.0
#7fd,,false,97.9
#6f7,,true,79.1
#327,,false,60.3
#546,,true,87.6
#6a8,,true,53.4
#f42,,false,92.4
#805,,true,53.2
#79f,,false,70.4
#0d6,,true,49.0
#a07,,false,78.8
#0ad,,true,70.8
#342,,true,64.1
#bd9,,false,46.9
#d47,,false,88.2
#223,,false,41.5
#0f0,,true,65.2
#42c,,true,31.1
#bb9,,false,54.8
#e0d,,true,81.0
#ac0,,false,46.5
#918,,false,89.0
#eb6,,false,48.3
#13c,,true,79.8
#9e3,,false,99.8
#fc2,,false,61.5
#878,,true,77.7
#397,,true,40.2
#1ed,,false,92.8
#7be,,true,54.7
#231,,true,51.6
#a10,,false,96.2
#d39,,true,69.7
#545,,false,82.8
#368,,true,61.8
#4a9,,false,63.2
#da2,,false,65.1
#758,,true,94.8
#ea5,,true,32.3
#90c,,true,97.0
#328,,true,79.6
#20b,,false,62.8
#55f,,false,46.2
#557,,false,72.2
#582,,true,75.9
#0f0,,false,87.9
#c5b,,true,89.5
#308,,false,84.0
#f37,,true,43.6
#8cf,,false,51.8
#53b,,true,95.8
#f7b,,false,81.2
#58f,,false,79.9
#7b6,,true,90.1
#93f,,false,37.2
#7f0,,true,33.6
#e69,,false,41.1
#577,,false,45.5
#6f7,,false,77.3
#2b4,,true,38.6
#fe3,,false,66.9
#d10,,true,48.5
#d2a,,false,67.0
#0e5,,false,65.2
#1b4,,false,66.3
#606,,true,54.8
#b37,,true,47.2
#2bc,,true,56.7
#753,,false,37.5
#2a3,,true,43.1
#930,,false,71.3
#ace,,false,84.4
#225,,true,82.4
#61f,,true,72.2
#56b,,false,69.9
#e38,,false,50.0
#531,,true,69.2
#99e,,false,55.4
#f1f,,false,53.9
#059,,true,56.9
#51c,,false,56.1
#aa2,,false,44.3
